WORD,MEANING,GradeoA,AoArating
he,a man or boy,2,3.0833698387096775
cookie,small sweet cake,2,3.0846727272727277
it,a thing,2,3.0957137500000003
it,your turn in games,4,3.0957137500000003
cartoon,funny picture,2,3.1164666666666663
meow,cat's cry,2,3.116533333333334
shod,wearing shoes,12,3.1282129032258066
shoe,foot covering,2,3.1282129032258066
babies,newborn children,2,3.137044141414141
baby,new-born child,2,3.137044141414141
baby,treat gently,4,3.137044141414141
sleep,to lie in rest,2,3.140803333333333
slept,went to sleep,2,3.140803333333333
dog,four-legged animal,2,3.1742885416666673
dog,a low person,8,3.1742885416666673
dog,to trail someone,10,3.1742885416666673
dog,device for bracing,13,3.1742885416666673
dogged,very determined,13,3.1742885416666673
the,that particular,2,3.1850582258064515
the,any,4,3.1850582258064515
man,humankind,2,3.193907708333333
man,a grown male,2,3.193907708333333
man,a human being,2,3.193907708333333
man,valet or servant,10,3.193907708333333
man,to make brave,12,3.193907708333333
man,provide with crew,12,3.193907708333333
men,grown-up males,2,3.193907708333333
crayon,for coloring,2,3.2
pinkie,little finger,6,3.21
she,woman or girl,2,3.2103484375000004
you,person reading this,2,3.2105050000000004
you,person(s) spoken to,6,3.2105050000000004
you,second person,10,3.2105050000000004
hot,very warm,2,3.2136896774193553
hot,"current, important",4,3.2136896774193553
hot,jazzy,4,3.2136896774193553
hot,"angry, excited",6,3.2136896774193553
hot,very spicy,8,3.2136896774193553
hot,very eager,12,3.2136896774193553
hotter,warmer,2,3.2136896774193553
hottest,warmest,2,3.2136896774193553
bathtub,where people bathe,2,3.22
house,give shelter to,2,3.241765
house,building to live in,2,3.241765
house,lawmaking body,8,3.241765
house,the family,10,3.241765
house,the audience,12,3.241765
house,place of business,13,3.241765
toilet,the stool in the bathroom,2,3.255349494949495
toilet,bathroom,4,3.255349494949495
toilet,washing and dressing,6,3.255349494949495
toilet,style of dress,12,3.255349494949495
good,well-behaved,2,3.261488709677419
good,"honest, moral",4,3.261488709677419
good,"real, not false",4,3.261488709677419
good,has value,4,3.261488709677419
good,tastes nice,4,3.261488709677419
good,pleasant,6,3.261488709677419
good,at least,6,3.261488709677419
good,fits its purpose,6,3.261488709677419
good,respectable,8,3.261488709677419
good,full or complete,12,3.261488709677419
goods,things bought and sold,2,3.261488709677419
goods,"stuff, equipment",4,3.261488709677419
goods,cloth or other stuff,6,3.261488709677419
goods,fabrics,8,3.261488709677419
sis,word for sister,2,3.2849725252525257
sister,opposite of brother,2,3.2849725252525257
sister,a nun,6,3.2849725252525257
four,4,2,3.3035795161290324
yellow,the yolk of an egg,2,3.3064642424242425
yellow,color of lemons,2,3.3064642424242425
yellow,to change color from age,4,3.3064642424242425
yellow,afraid,6,3.3064642424242425
hair,growth on head,2,3.3113770833333334
hair,very small distance,10,3.3113770833333334
spoon,an eating tool,2,3.323607291666667
spoon,a golf club,12,3.323607291666667
spoon,to make love,12,3.323607291666667
chocolate,cocoa flavor,2,3.33
chocolate,cocoa drink,2,3.33
toothpaste,stuff for cleaning teeth,2,3.33
father,priest,2,3.3306671717171716
father,dad,2,3.3306671717171716
father,the originator,10,3.3306671717171716
father,founder,10,3.3306671717171716
father,to make or create,12,3.3306671717171716
on,upon,2,3.3327971875
on,taking place,2,3.3327971875
on,at,2,3.3327971875
on,ahead,2,3.3327971875
on,covering,4,3.3327971875
on,touching,4,3.3327971875
on,shining,6,3.3327971875
on,forward,12,3.3327971875
flower,colored blossom,2,3.3347073737373734
flower,to bloom,2,3.3347073737373734
flower,the best part,12,3.3347073737373734
to,on,2,3.3417496774193545
to,toward,4,3.3417496774193545
to,as far as,4,3.3417496774193545
to,as far as,4,3.3417496774193545
to,until,6,3.3417496774193545
red,color of blood,2,3.3433002083333334
red,a communist,10,3.3433002083333334
red,shows a loss,12,3.3433002083333334
redder,more red-colored,4,3.3433002083333334
reddest,most red-colored,4,3.3433002083333334
underpants,underwear,2,3.35
sock,hit hard,2,3.3583708333333333
sock,a short stocking,4,3.3583708333333333
sox,stockings,6,3.3583708333333333
go,to run,2,3.365325483870967
go,to pass by,2,3.365325483870967
go,leave,2,3.365325483870967
go,to move from one place to another,2,3.365325483870967
go,disappear,4,3.365325483870967
go,pep,6,3.365325483870967
go,a chesslike game,12,3.365325483870967
go,to die,12,3.365325483870967
going,about to do,2,3.365325483870967
going,moving,2,3.365325483870967
going,working well,12,3.365325483870967
gone,has left,2,3.365325483870967
gone,"ruined, lost",4,3.365325483870967
gone,faint or weak,8,3.365325483870967
went,used to go,2,3.365325483870967
went,broke down,6,3.365325483870967
blue,sky color,2,3.3687443010752687
blue,feeling of unhappiness,4,3.3687443010752687
blue,not quite decent,13,3.3687443010752687
bluing,whitens clothes,8,3.3687443010752687
sleepy,needs rest,2,3.37
backyard,,2,3.38
ask,question,2,3.389583333333333
cup,a measure,2,3.3901129032258064
cup,used to drink from,2,3.3901129032258064
cup,a prize,4,3.3901129032258064
sat,was sitting,2,3.402046875
sit,take a seat,2,3.402046875
sit,to hold a meeting,12,3.402046875
sitting,keeping one's seat,4,3.402046875
sitting,keeping one's seat,4,3.402046875
sitting,a session,8,3.402046875
we,you and I,2,3.4040631250000004
we,"a formal ""I""",12,3.4040631250000004
puppy,a young dog,2,3.4143828282828284
in,at home,2,3.4158625000000002
in,during,2,3.4158625000000002
in,into,2,3.4158625000000002
in,not outside,2,3.4158625000000002
in,inside,2,3.4158625000000002
toe,front of shoe,2,3.4221583333333334
mad,angry,2,3.427825
mad,wild,4,3.427825
mad,having rabies,12,3.427825
mad,crazy,12,3.427825
madder,more angry,2,3.427825
madder,source fo dye,13,3.427825
hungry,needing food,2,3.4284838383838383
ear,what you hear with,2,3.4299
ear,a spike of corn,4,3.4299
sun,gives light and heat,2,3.4498885416666667
hat,a head covering,2,3.453620967741936
tummy,stomach,2,3.4619151515151514
diaper,baby pants,4,3.463709090909091
at,in or on,2,3.4670453125
at,toward,4,3.4670453125
snowman,a man made of snow,2,3.47
bath,wash,2,3.47545890625
stop,to prevent,2,3.478353333333333
stop,to quit,2,3.478353333333333
stop,to bring to a standstill,2,3.478353333333333
stop,a short distance,4,3.478353333333333
stop,a cork or plug,6,3.478353333333333
stop,a short visit,8,3.478353333333333
stop,control on organ,12,3.478353333333333
stop,to fill in a hole,12,3.478353333333333
stopping,quitting,4,3.478353333333333
color,"red, blue, etc.",2,3.480569696969697
color,complexion,6,3.480569696969697
color,to blush,8,3.480569696969697
color,stretch the truth,12,3.480569696969697
colors,national flag,8,3.480569696969697
nose,the smeller,2,3.487208602150538
nose,narrow part of air plane,4,3.487208602150538
nose,to pry,10,3.487208602150538
all,the whole,2,3.4887296875000002
all,everybody,2,3.4887296875000002
all,everything,2,3.4887296875000002
five,5,2,3.4913945161290325
arm,part of body,2,3.4962250000000004
arm,part of a chair,2,3.4962250000000004
arm,a weapon,4,3.4962250000000004
arm,a branch or division,6,3.4962250000000004
arm,give guns to,6,3.4962250000000004
coloring,gives color,2,3.5
coloring,"appearance of the skin, etc.",4,3.5
eye,hole in a needle,2,3.50312
eye,what you see with,2,3.50312
eye,to watch closely,2,3.50312
eye,private detective,6,3.50312
eye,loop to fasten hook,8,3.50312
eyes,spots on potatoes,6,3.50312
please,to make glad,4,3.50383870967742
breakfast,morning meal,2,3.512633106060606
cow,milk-giving animal,2,3.514740645161291
cow,the female of many animals,6,3.514740645161291
cow,frighten with threats,14,3.514740645161291
hug,squeeze in arms,2,3.5193572916666667
hug,keep close to,6,3.5193572916666667
hugged,squeezed in arms,2,3.5193572916666667
finger,part of hand,2,3.5226080808080806
finger,to touch,6,3.5226080808080806
finger,to point out accusingly,8,3.5226080808080806
down,toward the ground,2,3.5252577419354845
down,in the dumps,6,3.5252577419354845
down,velvety fuzz,8,3.5252577419354845
down,young bird's feathers,10,3.5252577419354845
down,to defeat,10,3.5252577419354845
down,not well,12,3.5252577419354845
down,cash paid when buying,12,3.5252577419354845
down,grassland,13,3.5252577419354845
downs,open land areas,8,3.5252577419354845
duck,to dodge,2,3.5282806451612907
duck,swimming bird,2,3.5282806451612907
duck,dip  into water,6,3.5282806451612907
duck,a land and water military vehicle,12,3.5282806451612907
duck,canvas-like cloth,13,3.5282806451612907
ducking,plunge into water,8,3.5282806451612907
ducks,sailor's trousers,12,3.5282806451612907
moo,sound made by cow,2,3.53
thanks,I thank you,2,3.53
thanks,appreciation,4,3.53
woof,dog's bark,2,3.53
woof,a horizontal weaving thread,12,3.53
face,to look straight at,2,3.531377096774194
face,"eyes, nose and mouth",2,3.531377096774194
face,turn toward,6,3.531377096774194
face,to meet with courage,6,3.531377096774194
face,"surface, front",8,3.531377096774194
face,reputation,10,3.531377096774194
face,the most important side,10,3.531377096774194
face,sew on a layer,13,3.531377096774194
face,impudence,14,3.531377096774194
facing,turned toward,4,3.531377096774194
facing,covering,10,3.531377096774194
facing,protects edge of cloth,13,3.531377096774194
her,a girl,2,3.535142741935484
her,belonging to a girl,2,3.535142741935484
zoo,wild animal park,2,3.539594827586207
saw,tool for cutting,2,3.545004791666667
saw,cut with tool,2,3.545004791666667
saw,looked at,2,3.545004791666667
saw,stitch together,4,3.545004791666667
saw,an old saying,14,3.545004791666667
see,to have power of sight,2,3.545004791666667
see,look at,2,3.545004791666667
see,go find out,2,3.545004791666667
see,to understand,6,3.545004791666667
see,bishop's seat,12,3.545004791666667
see,to visit,12,3.545004791666667
seeing,using your eyes,2,3.545004791666667
seen,did see,2,3.545004791666667
storey,floor of a building,4,3.5527447474747476
story,floor of a building,2,3.5527447474747476
story,a made-up tale,2,3.5527447474747476
story,a newspaper article,2,3.5527447474747476
story,telling what happened,2,3.5527447474747476
story,a lie,6,3.5527447474747476
him,the man or boy,2,3.55506
flew,was flying,2,3.5690989583333335
flies,winged insects,2,3.5690989583333335
flies,is flying,2,3.5690989583333335
flies,goes through the air,4,3.5690989583333335
flown,moved in the air,4,3.5690989583333335
flown,passed quickly,8,3.5690989583333335
fly,to drive an airplane,2,3.5690989583333335
fly,a winged insect,2,3.5690989583333335
fly,to travel by airplane,2,3.5690989583333335
fly,to go through the air,2,3.5690989583333335
fly,kind of fish hook,4,3.5690989583333335
fly,to speed,4,3.5690989583333335
fly,high-batted ball,4,3.5690989583333335
fly,to run away,10,3.5690989583333335
fly,trousers opening,12,3.5690989583333335
fly,canvas roof,14,3.5690989583333335
drank,did drink,2,3.57053546875
drink,liquor,2,3.57053546875
drink,liquid for swallowing,2,3.57053546875
drink,to take water,2,3.57053546875
drink,to use alcohol,6,3.57053546875
drink,to soak up,8,3.57053546875
drink,large body of water,13,3.57053546875
kitten,a baby cat,2,3.5747684090909093
six,two x three,2,3.5760934375
six,6,2,3.5760934375
granddad,your parent's father,2,3.58
mouth,part of face,2,3.58
mouth,where river empties,4,3.58
suppertime,when evening meal is served,2,3.58
doll,girl's plaything,2,3.58314375
doll,a pretty girl,6,3.58314375
day,while sun shines,2,3.5902417204301074
day,a 24-hour period,2,3.5902417204301074
banana,yellow-skinned fruit,2,3.591305
milk,a liquid food,2,3.604001041666667
milk,coconut juice,4,3.604001041666667
fun,"amusement, sport",2,3.6087109375
table,piece of furniture,2,3.612760101010101
table,a chart of figures,4,3.612760101010101
table,food in general,12,3.612760101010101
table,a level surface,12,3.612760101010101
table,a tablet for inscriptions,12,3.612760101010101
table,lay aside a motion,12,3.612760101010101
sad,not happy,2,3.61802
God,all powerful being,2,3.61853125
god,all-powerful being,4,3.61853125
God,maker of the world,4,3.61853125
girl,a sweetheart,2,3.618905376344086
girl,a young woman,2,3.618905376344086
bottle,hold in,2,3.6246060606060606
bottle,glass container,2,3.6246060606060606
seven,one more than six,2,3.636584696969697
seven,7,2,3.636584696969697
bedroom,sleeping room,2,3.639949494949495
small,little,2,3.6429831250000007
sorry,poor and pitiful,4,3.6465747474747476
sorry,sad about what happened,4,3.6465747474747476
mine,underground diggings,2,3.653762741935484
mine,belongs to me,2,3.653762741935484
mine,"to dig for coal, etc.",4,3.653762741935484
mine,rich source,8,3.653762741935484
mine,floating bomb,8,3.653762741935484
balloon,air-filled ball,2,3.6655696969696967
balloon,kind of aircraft,2,3.6655696969696967
balloon,to swell up,8,3.6655696969696967
balloon,surrounds dialog,12,3.6655696969696967
balloon,to grow rapidly,12,3.6655696969696967
for,in favor of,2,3.6688871874999998
for,to last,2,3.6688871874999998
for,given to,2,3.6688871874999998
for,at the price of,2,3.6688871874999998
for,instead of,4,3.6688871874999998
for,meant to belong to,4,3.6688871874999998
for,towards,4,3.6688871874999998
for,to give to,4,3.6688871874999998
for,because of,6,3.6688871874999998
for,fits purpose of,6,3.6688871874999998
for,during,6,3.6688871874999998
for,to be used by,8,3.6688871874999998
for,fits,8,3.6688871874999998
for,meant to last,8,3.6688871874999998
butterflies,nervous feelings,8,3.67
butterfly,moth-like insect,2,3.67
happier,gladder,2,3.6719917171717174
happy,glad,2,3.6719917171717174
happy,fortunate,8,3.6719917171717174
happy,suitable,13,3.6719917171717174
doggy,a puppy,4,3.68
doggy,stylish,12,3.68
cold,low in temperature,2,3.6807625
cold,not warm,2,3.6807625
cold,a common disease,4,3.6807625
cold,unconscious,6,3.6807625
cold,uninterested,10,3.6807625
cold,unfriendly,10,3.6807625
cold,perfectly,10,3.6807625
car,part of train,2,3.6829072916666674
car,automobile,2,3.6829072916666674
car,elevator or cage,10,3.6829072916666674
tree,the largest plants,2,3.692165
tree,to chase up a tree,12,3.692165
tree,"rack for shoes, hats",12,3.692165
trees,a diagram of ancestors,8,3.692165
kiss,touch lips,2,3.7020827956989244
kiss,just touch,12,3.7020827956989244
kiss,kind of candy,12,3.7020827956989244
poop,stern of ship,12,3.7026015625
poop,gossip or information,13,3.7026015625
clap,slap hands together,2,3.7088306451612905
clap,loud sound,4,3.7088306451612905
clap,a slap,6,3.7088306451612905
play,to pretend,2,3.71048359375
play,a stage show,2,3.71048359375
play,to have fun,2,3.71048359375
play,room to move,12,3.71048359375
brother,your parents' son,2,3.7127464646464645
brother,religious title,10,3.7127464646464645
tub,for washing clothes,4,3.7131562500000004
tub,a washing pail,4,3.7131562500000004
tub,a container,4,3.7131562500000004
tub,to bathe,8,3.7131562500000004
tub,a slow boat,12,3.7131562500000004
nighttime,the dark part of the day,2,3.72
clown,circus funny man,2,3.7220241935483873
clown,unreliable person,12,3.7220241935483873
teeth,what you bite with,2,3.724794791666667
teeth,the ridges of a saw,4,3.724794791666667
teeth,pointed ends of a comb,6,3.724794791666667
teeth,parts of a gear,12,3.724794791666667
tooth,what you bite with,2,3.724794791666667
tooth,a prong on a comb,4,3.724794791666667
tooth,ridge on gear,8,3.724794791666667
tooth,a cutting point on a saw,8,3.724794791666667
tooth,make into jagged points,12,3.724794791666667
this,the one right here,2,3.725796129032258
this,singular of these,8,3.725796129032258
bird,flying creature,2,3.726144086021506
bird,shuttlecock,8,3.726144086021506
bird,sound of disapproval,12,3.726144086021506
black,the darkest color,2,3.7344726881720427
black,dark-skinned person,4,3.7344726881720427
black,the family rascal,8,3.7344726881720427
black,evil,10,3.7344726881720427
blacking,shoe polish,12,3.7344726881720427
animal,a beast,2,3.7469
bread,food made in loaves,2,3.7480505376344087
bread,money,8,3.7480505376344087
dark,gloomy,2,3.7503750000000005
dark,without light,2,3.7503750000000005
dark,almost black,2,3.7503750000000005
dark,with a brownish complexion,4,3.7503750000000005
dark,mysterious,6,3.7503750000000005
dark,state of ignorance,10,3.7503750000000005
dark,evil,12,3.7503750000000005
fire,shoot a gun,2,3.7506067741935483
fire,a flame,2,3.7506067741935483
fire,a burning building,2,3.7506067741935483
fire,guns going off,4,3.7506067741935483
fire,to set aflame,4,3.7506067741935483
fire,to remove from job,4,3.7506067741935483
fire,strong feeling,10,3.7506067741935483
fire,bake pottery,12,3.7506067741935483
fire,to excite,12,3.7506067741935483
fire,stoke furnace,12,3.7506067741935483
firing,shooting a weapon,2,3.7506067741935483
door,opening into building,2,3.7513
orange,a fruit,2,3.75235
orange,red-yellow,4,3.75235
orange,a man-like ape,13,3.75235
us,you and me,4,3.7526127419354838
clothes,what you wear,2,3.7669656249999997
name,what you're called,2,3.7675083333333332
name,reputation,8,3.7675083333333332
name,famous person,10,3.7675083333333332
name,to appoint,12,3.7675083333333332
naming,calling it something,2,3.7675083333333332
neck,part of the body,2,3.7707802083333335
neck,part of bottle,6,3.7707802083333335
neck,make love,8,3.7707802083333335
neck,a point of land,10,3.7707802083333335
morning,first half of day,2,3.7751427272727276
towel,a drying cloth,2,3.7781939393939394
popsicle,,2,3.78
apple,a fruit,2,3.781748484848485
scared,,2,3.79
marshmallow,fluffy candy,4,3.8
his,belongs to him,2,3.8019390322580646
smile,curve mouth upwards,2,3.8024609375000002
off,won't be held,2,3.8031353125000003
off,taken away,2,3.8031353125000003
off,away from,2,3.8031353125000003
off,not burning,2,3.8031353125000003
off,not on,2,3.8031353125000003
off,wrong,6,3.8031353125000003
off,mentally unbalanced,6,3.8031353125000003
off,given up,8,3.8031353125000003
off,from,8,3.8031353125000003
lip,edge of the mouth,2,3.8133
lip,rim or edge,6,3.8133
lip,back talk,6,3.8133
lips,,2,3.8133
granny,grandmother,4,3.81655
granny,kind of knot,8,3.81655
can,is able,2,3.8174450537634415
can,a metal container,4,3.8174450537634415
can,to preserve food,4,3.8174450537634415
can,fire from job,13,3.8174450537634415
canst,are able,14,3.8174450537634415
could,would be able,2,3.8174450537634415
could,was able to,4,3.8174450537634415
couldst,could,12,3.8174450537634415
chair,seat for one person,2,3.8229250000000006
chair,means of execution,8,3.8229250000000006
chair,an official position,8,3.8229250000000006
chair,a professor's job,12,3.8229250000000006
chair,person in charge,12,3.8229250000000006
friend,person one likes,2,3.8244550537634403
friend,a supporter,6,3.8244550537634403
Friend,Quaker,13,3.8244550537634403
get,receive,2,3.8266733333333334
get,go and take,2,3.8266733333333334
get,to obtain,4,3.8266733333333334
get,to become,4,3.8266733333333334
getting,receiving,2,3.8266733333333334
got,past of get,2,3.8266733333333334
got,used to get,6,3.8266733333333334
gotten,received,2,3.8266733333333334
ant,small insect,2,3.827046875
wash,clothes for cleaning,2,3.827452016129032
wash,to flow like water,2,3.827452016129032
wash,clean with water,2,3.827452016129032
wash,coating material,6,3.827452016129032
wash,a type of drawing,12,3.827452016129032
wash,coat metal,12,3.827452016129032
wash,waste liquid,12,3.827452016129032
wash,liquid for a special use,12,3.827452016129032
washing,clothes washed,2,3.827452016129032
night,dark time,2,3.8324763440860217
green,not ripe,2,3.833385416666667
green,a plot of grassyland,2,3.833385416666667
green,the color of grass,2,3.833385416666667
green,part of golf course,4,3.833385416666667
green,without training,8,3.833385416666667
green,pale and sick looking,10,3.833385416666667
greens,a vegetable,2,3.833385416666667
greens,branches for decoration,6,3.833385416666667
talk,a speech,2,3.8371327083333333
talk,to speak,2,3.8371327083333333
bathing,swimming,4,3.84
here,in this place,2,3.844317419354839
if,supposing that,2,3.8550349999999995
if,on the condition that,4,3.8550349999999995
if,even though,4,3.8550349999999995
spanking,a way of punishing,2,3.86
spanking,brisk,8,3.86
chicken,kind of meat,2,3.8656101010101014
chicken,hen or rooster,2,3.8656101010101014
chicken,cowardly,4,3.8656101010101014
top,a spinning toy,2,3.8676970833333333
top,a lid or bottle cover,2,3.8676970833333333
top,the first part,4,3.8676970833333333
top,the highest step or degree,4,3.8676970833333333
top,to do better than,4,3.8676970833333333
top,the upper side or  part,4,3.8676970833333333
top,put a cover on,4,3.8676970833333333
top,to go higher than another,4,3.8676970833333333
top,highest part,4,3.8676970833333333
top,crown of the head,6,3.8676970833333333
top,to go over the highest part,6,3.8676970833333333
top,be the first,8,3.8676970833333333
top,the greatest,8,3.8676970833333333
top,cut off upper part,12,3.8676970833333333
tops,of highest quality,4,3.8676970833333333
snow,falling white flakes,2,3.88481
snow,convince by insincere talk,12,3.88481
snow,cocaine crystals,12,3.88481
kitchen,cooking room,2,3.8877630303030304
turtle,shell-backed animal,2,3.889157575757576
lollipop,candy on a stick,2,3.89
book,many printed pages,2,3.89007859375
book,to enter on police register,10,3.89007859375
book,bridge term,10,3.89007859375
book,arrange for,10,3.89007859375
book,record of bets,12,3.89007859375
book,to register,12,3.89007859375
soap,stuff used for washing,2,3.8922562500000004
hers,belongs to a girl,2,3.8968599999999998
egg,laid by hen,2,3.9067
egg,that from which young develop,6,3.9067
egg,to urge on,10,3.9067
egg,person,12,3.9067
brown,a color,2,3.910217741935484
skies,upper air and clouds,4,3.912425053763441
sky,"upper air, clouds",2,3.912425053763441
eight,8,2,3.9131677419354842
candy,sweets,2,3.9162141414141414
reindeer,northern animal,2,3.9177454545454546
laugh,amused sound,2,3.918653125
laughing,cause of laughter,8,3.918653125
cake,a baked dessert,2,3.9192625
cake,a piece of soap,6,3.9192625
cake,form or harden,10,3.9192625
cake,"round, flat object",12,3.9192625
what,used to ask question,2,3.9199975
what,which,2,3.9199975
what,how much,6,3.9199975
jump,a move in checkers,2,3.9244749999999997
jump,a sudden rise,2,3.9244749999999997
jump,a leap,2,3.9244749999999997
jump,to hop up and down,2,3.9244749999999997
jump,to rise suddenly in price,6,3.9244749999999997
jump,to leave gaps,8,3.9244749999999997
jump,to attach emergency wires,12,3.9244749999999997
horse,a work animal,2,3.9245800000000006
horse,to play around,6,3.9245800000000006
horse,wooden frame,12,3.9245800000000006
horse,full grown male,12,3.9245800000000006
bear,"big, shaggy animal",2,3.9249718750000007
bear,have children,8,3.9249718750000007
bear,to carry,8,3.9249718750000007
bear, move to the side,10,3.9249718750000007
bear,sells cheaply to lower prices,12,3.9249718750000007
bear,rough person,12,3.9249718750000007
bear,press against,12,3.9249718750000007
bearing,way of carrying oneself,8,3.9249718750000007
bearing,metal part,8,3.9249718750000007
bearing,relationship,10,3.9249718750000007
bearing,direction,12,3.9249718750000007
bore,make weary by dullness,2,3.9249718750000007
bore,not interesting,4,3.9249718750000007
bore,make a hole,6,3.9249718750000007
bore,had the title,8,3.9249718750000007
bore,carried,14,3.9249718750000007
