,Utterance,Emotion,Content
34,Maybe because you've got the keys?,anger,Maybe because you've got the keys?
35,This is totally your fault!,anger,This is totally your fault!
36,My fault?! You threatened the judge!,anger,My fault?! You threatened the judge!
37,"Well, you ripped the paper out of the court reporter's machine!!",anger,"Well, you ripped the paper out of the court reporter's machine!!"
38,"Well, I'm never gonna listen to you again, that's for sure!",anger,"Well, I'm never gonna listen to you again, that's for sure!"
39,Well Rachel's not here!,anger,Well Rachel's not here!
40,"Damnit, damnit, damnit, damnit.",anger,"Damnit, damnit, damnit, damnit."
41,This is all your fault.,anger,This is all your fault.
42,"This is supposed to be, like, the greatest day of my life, y'know?",anger,"This is supposed to be, like, the greatest day of my life, y'know?"
43,"My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",anger,"My son is being born, and I should be in there, you know, instead of stuck in a closet with you."
44,The woman I love is having a baby today. I've been waiting for this just as much as you have.,anger,The woman I love is having a baby today. I've been waiting for this just as much as you have.
45,"No no no, believe me.",anger,"No no no, believe me."
46,"No one has been waiting for this as much as I have, ok?",anger,"No one has been waiting for this as much as I have, ok?"
47,"When this day is over, you get to go home with the baby, ok?",anger,"When this day is over, you get to go home with the baby, ok?"
48,Who am I?,anger,Who am I?
49,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",anger,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you..."
50,"Cookie, now you can punch him!",anger,"Cookie, now you can punch him!"
51,"All right, that's it, I quit.",anger,"All right, that's it, I quit."
52,"Yeah, but this  isn't the face of a person who trusts a person.",anger,"Yeah, but this  isn't the face of a person who trusts a person."
53,"Ok, this  is the face of a person who, you know, doesn't trust a person.",anger,"Ok, this  is the face of a person who, you know, doesn't trust a person."
54,Would you relax? I know what I am doing. This is how he wears it.,anger,Would you relax? I know what I am doing. This is how he wears it.
55,"Yeah, right.  Sure!",anger,"Yeah, right.  Sure!"
56,"Oh, please, you wanted to get caught.",anger,"Oh, please, you wanted to get caught."
57,That is not true!,anger,That is not true!
58,"Oh, so you just sort of happened to leave it in here?",anger,"Oh, so you just sort of happened to leave it in here?"
59,Did it ever occur to you that I might just be that stupid?,anger,Did it ever occur to you that I might just be that stupid?
60,"Phoebe, come on, you have to tell us.",anger,"Phoebe, come on, you have to tell us."
61,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",anger,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!"
62,"You know, Rachel, when you ran out of your wedding, I was there for you.",anger,"You know, Rachel, when you ran out of your wedding, I was there for you."
63,"I put a roof over your head, and if that means nothing to you...  twenty dollars an hour.",anger,"I put a roof over your head, and if that means nothing to you...  twenty dollars an hour."
64,No you're not! Not to me!,anger,No you're not! Not to me!
65,Fine!,anger,Fine!
66,I'll do it without you!,anger,I'll do it without you!
67,I don't need you or anybody else!,anger,I don't need you or anybody else!
68,I'm gonna make it on my own!,anger,I'm gonna make it on my own!
69,You'll see!!,anger,You'll see!!
70,"You sick freak, who does that? I can't believe I had a crush on    you!",anger,"You sick freak, who does that? I can't believe I had a crush on    you!"
71,Do them!!,anger,Do them!!
72,"Dude, you don't have to brag! We got nothing here!!",anger,"Dude, you don't have to brag! We got nothing here!!"
73,"Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant?",anger,"Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant?"
74,Ah! Ah! I forgot my jacket!,anger,Ah! Ah! I forgot my jacket!
75,You tell them to wait!,anger,You tell them to wait!
76,Oh no-no-no! Oh-no!  No! No! Emily!,anger,Oh no-no-no! Oh-no!  No! No! Emily!
77,Nevermind!,anger,Nevermind!
78,Please. This is so your fault.,anger,Please. This is so your fault.
79,"Look, Carol never threw me out of a room before you came along.",anger,"Look, Carol never threw me out of a room before you came along."
80,"Yeah? Well, there's a lot of things Carol never did before I came along.",anger,"Yeah? Well, there's a lot of things Carol never did before I came along."
81,"Hey, hey, ok, all right, that's it!",anger,"Hey, hey, ok, all right, that's it!"
82,Get in here.,anger,Get in here.
83,"My god, you guys, I don't believe you.",anger,"My god, you guys, I don't believe you."
84,There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing.,anger,There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing.
85,"So just stop all the yelling, just stop it!",anger,"So just stop all the yelling, just stop it!"
86,"Don't make me do this again, I don't like my voice like this.",anger,"Don't make me do this again, I don't like my voice like this."
87,Son of a bitch!,anger,Son of a bitch!
88,Pizza!! We like Pizza!! Get out!!!,anger,Pizza!! We like Pizza!! Get out!!!
89,"Joey, onstage!",anger,"Joey, onstage!"
90,Vic! Vic!,anger,Vic! Vic!
91,In a minute!!,anger,In a minute!!
92,"Look, you have done enough! Okay? You have to stop this now.",anger,"Look, you have done enough! Okay? You have to stop this now."
93,But having a dove place the ring on your finger would've been no problem?,anger,But having a dove place the ring on your finger would've been no problem?
94,Don't be so negative! Good God! Isn't it possible that Sorry is sitting in there  right now?!,anger,Don't be so negative! Good God! Isn't it possible that Sorry is sitting in there  right now?!
95,"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",anger,"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!"
96,"Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night?",anger,"Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night?"
97,Then do Iceberg!,anger,Then do Iceberg!
98,"No, but you're questioning my method!",anger,"No, but you're questioning my method!"
99,"No, I'm not questioning it, I'm saying it's stupid!  What?!",anger,"No, I'm not questioning it, I'm saying it's stupid!  What?!"
100,Y'know none of my other student thought I was stupid.,anger,Y'know none of my other student thought I was stupid.
101,"Your other student, was you!",anger,"Your other student, was you!"
102,"Yeah, well, y'know maybe you just need to try a little harder!",anger,"Yeah, well, y'know maybe you just need to try a little harder!"
103,"Look, maybe I need to try a real teacher!",anger,"Look, maybe I need to try a real teacher!"
104,Right here!,anger,Right here!
105,Here!,anger,Here!
106,Fine! You go learn from your qualified instructor! But don't come crying to me when everyone's sick and tired of hearing you play,anger,Fine! You go learn from your qualified instructor! But don't come crying to me when everyone's sick and tired of hearing you play
107,"Oh, fine! Take his side!",anger,"Oh, fine! Take his side!"
108,"And shame on you! You should know better, Joey needs to work.  Now come on!",anger,"And shame on you! You should know better, Joey needs to work.  Now come on!"
109,Hey!,anger,Hey!
110,No! Ah-ah-ah-ah-ah! You can have this back when the five pages are done!  Ahh!,anger,No! Ah-ah-ah-ah-ah! You can have this back when the five pages are done!  Ahh!
111,"I'm pregnant.  Ross?  Ross?  Okay, whenever you're ready.  And you're the father by the way-but you got that",anger,"I'm pregnant.  Ross?  Ross?  Okay, whenever you're ready.  And you're the father by the way-but you got that"
112,"I know, And then all of the sudden your Mom pops into your head.",anger,"I know, And then all of the sudden your Mom pops into your head."
113,"And your like 'Mom, get outta here!'",anger,"And your like 'Mom, get outta here!'"
114,"You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing.",anger,"You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing."
115,What-what are you doing?! Are you-Okay that's not funny! Just stop horsing around!,anger,What-what are you doing?! Are you-Okay that's not funny! Just stop horsing around!
116,I was talking to myself! You're going down!,anger,I was talking to myself! You're going down!
117,"Damn those robots, they're supposed to be our",anger,"Damn those robots, they're supposed to be our"
118,"Yeah, he doesn't like me.",anger,"Yeah, he doesn't like me."
119,knock over the sandwich right when I was reaching for one!,anger,knock over the sandwich right when I was reaching for one!
120,"I may have to, I hate to do it, but I'm the star!",anger,"I may have to, I hate to do it, but I'm the star!"
121,I'm the lead in Mac and C.H.E.E.S.E.!!,anger,I'm the lead in Mac and C.H.E.E.S.E.!!
122,Oh good God! If you want a baby so bad just go steal it!,anger,Oh good God! If you want a baby so bad just go steal it!
123,That's the magic story you use when you wanna have sex!,anger,That's the magic story you use when you wanna have sex!
124,Okay-Oop! Too late! I'm leaving! Come on Chandler let's go!,anger,Okay-Oop! Too late! I'm leaving! Come on Chandler let's go!
125,"Oh, that's good. Maybe he'll hear you and pull the cord.",anger,"Oh, that's good. Maybe he'll hear you and pull the cord."
126,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?",anger,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?"
127,What is the big deal?,anger,What is the big deal?
128,"Oh my God, Phoebe,",anger,"Oh my God, Phoebe,"
129,"Wow! Oh my God, well if they've ripped off our table ours must be much more than one and fifty dollars!",anger,"Wow! Oh my God, well if they've ripped off our table ours must be much more than one and fifty dollars!"
130,"Of course not, it smells like wine, which you spilled! And thanks for wrecking my sheet by the way.",anger,"Of course not, it smells like wine, which you spilled! And thanks for wrecking my sheet by the way."
131,"Oh, you've tasted it.",anger,"Oh, you've tasted it."
132,Gimme the bottle.  Gimme the towel.,anger,Gimme the bottle.  Gimme the towel.
133,I still don't get why Greg and Jenny would give us a fake number.,anger,I still don't get why Greg and Jenny would give us a fake number.
134,"Okay, maybe people give out fake numbers, but they don't give out fake names.",anger,"Okay, maybe people give out fake numbers, but they don't give out fake names."
135,"I know! Although, you did tell an awful lot of jokes.",anger,"I know! Although, you did tell an awful lot of jokes."
136,Joke. Joke. Blah! Blah!,anger,Joke. Joke. Blah! Blah!
137,"All right, I just got changed in thirty seconds so you can be alone with him. You'd better go for it.",anger,"All right, I just got changed in thirty seconds so you can be alone with him. You'd better go for it."
138,"Well, if you don't, I will.",anger,"Well, if you don't, I will."
139,I would!,anger,I would!
140,This is not going to work.,anger,This is not going to work.
141,No I don't! Stop it! Stop it! Stop it! Stop it!,anger,No I don't! Stop it! Stop it! Stop it! Stop it!
142,"Listen, the number that you gave me 853-5!   That is their old number!",anger,"Listen, the number that you gave me 853-5!   That is their old number!"
143,Jenny's been giving it out since they moved!,anger,Jenny's been giving it out since they moved!
144,Y'know what Greg?,anger,Y'know what Greg?
145,"We are good, interesting, funny people with",anger,"We are good, interesting, funny people with"
146,Ow!,anger,Ow!
147,Ow!,anger,Ow!
148,Ow!,anger,Ow!
149,Ow!,anger,Ow!
150,"Well, I think we've all learned something about who's disgusting and who's not.",anger,"Well, I think we've all learned something about who's disgusting and who's not."
151,"So, you still don't think I'm boyfriend material?",anger,"So, you still don't think I'm boyfriend material?"
152,"I, umm, shut up!",anger,"I, umm, shut up!"
