Utterance,Emotion
"Umm, yeah, actually, Susan's gonna be home any minute, it's kinda an anniversary.",joy
"Oh, oh, oh, I'll get 'Rainy Day Bear'!!",joy
"Because he'll know what to do?  Oh my God, you're a genius!",joy
"Y'know sometimes the good ideas are just right in front of you, aren't they?",joy
"Sure, I love this part!",joy
"Really? In the moment, I really wanted to kiss you too. In the moment.",joy
But only in the moment. So do ya wanna kiss again?,joy
"Joey, you don't have to count down every time we kiss.",joy
"Uh, yeah, okay. Except I sorta felt like I needed a couple of seconds to get ready.",joy
"If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",joy
Hi Monica!,joy
Hey Mon!,joy
Hey Mon!,joy
But then I realized where would a mouse or a opossum get the money to make the phone call.,joy
Hey Mon! Want some pancakes?,joy
Yep! Grab a plate.,joy
Oh yeah!,joy
"I will! But not tonight. For dinner music, I thought we could listen to that tape you made me.",joy
The Way You Look Tonight,joy
You are just the sweetest.,joy
Hey!,joy
Hey!,joy
"Ohh, Monica, I am so excited for you.",joy
"Ooh, actually I've been making a list of all the women I know who might be into doing this!",joy
"and then, we could've gone from the ceremony to the reception with you in the sidecar!",joy
It was really fun being married to you tonight.,joy
"Yeah! And! And, it was the easiest 400 bucks I've ever made.",joy
"With the, with the lilies, and-and the song, and the stars!",joy
It was!really wonderful!,joy
"Well actually, I-I didn't eat mine. It's still in the bathroom.",joy
And that's I'm so glad! there's no problem.,joy
Ohh! That's great!,joy
No-ho-ho!,joy
"Kidding! God, I feel wild today!",joy
Hey!,joy
Hi! Hey!,joy
"Well, of course I do! My good friend Joey over here.",joy
"Oh, I'm sorry. Thank you Chandler.",joy
Hey!,joy
Of course we'll help! Yeah! We'll be here!,joy
Thanks!,joy
"Oh, hi! How are you doing?",joy
Y-You're going?,joy
Pass it! Pass it!,joy
He's open!,joy
Shoot! Shoot! Shoot!,joy
I am so psyched I kept this chair for myself!,joy
Yeah! You can hook it up to your TV,joy
Hi!,joy
"Hi.  Umm, I think there's something that we really need to talk about.",joy
"Okay, y'know what? Can I, can I talk now?",joy
I know!,joy
"Okay, you know, you know when your in bed, with a woman.",joy
"And, ah, you know, your fooling around with her.",joy
"And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place....",joy
"With the belly-button ring? Oh, muhawa!",joy
"Oh what are you kidding? She's gorgeous, it's all Rachel.",joy
God. I forgot how much I love driving. I have,joy
"I am not horsing around, okay? I am Porsching around.",joy
Hey honey! I missed you today!,joy
"Ok, trying to turn me on by making a mess?",joy
Know your audience!,joy
"We got the grant. Three years, all expenses paid.",joy
You wanted to see me Professor Geller?,joy
Oo-oo!,joy
Pretty great! Except I did get a little attitude from the robot.,joy
"Joe! I'm glad I found ya, I got an audition for ya!",joy
I'm not crazy about babies. I'm crazy about us.,joy
We're really good.,joy
"Okay, in about ten seconds you're gonna see him kiss me.",joy
"Okay, get ready to see some beggin'!",joy
Now I'm so happy.,joy
You used the Europe story!,joy
"Stop it, stop it! He talks slow but he might pee fast! Ok,    let's go!!",joy
I got my s's back!,joy
"Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye.",joy
Oh sure!  Noo!,joy
"Ross, you're being silly. I've tried it, it's no big deal. Just taste it.",joy
Cantaloupe juice.,joy
"Relax, it's not like we're forking.",joy
"Look at it! Ohhh! Wallpaper's a little faded, that's okay. Carpet's a little loose. Hardwood floors!!",joy
Hey!,joy
Oh! Ooh! Oh Monica! It's so beautiful.,joy
I know!!!,joy
"So, I'm here, ready to play.",joy
"I brought a bunch of stuff for the house, so check it out. Ha-ha.",joy
"That's a dog, every house should have a dog.",joy
"Well, maybe it's so big because the house was built on radioactive waste.",joy
I need to talk to you!,joy
Would you please go?,joy
"Hey, guys, guys, did you see my new, china cabinet?!",joy
"Watch, watch.",joy
"And, and!",joy
"Yeah, but I love you more.",joy
So I'm screwed.,joy
"Oh-oh, I'm a duck! I go, ""Quack, quack!"" I'm happy all the time!",joy
"Wait, wait, wait!",joy
I bet this will work!,joy
You are so great! I love you!,joy
You love me!,joy
Jenny! That is so Jenny!,joy
"Okay umm, the week after that?",joy
The week after that?,joy
"Oh well listen, anyway she's directing the new Al Pacino movie. You gotta get me an audition!",joy
"Yeah, I love you. Okay, bye!  Hi!",joy
Hi!,joy
But sadly I could not be enticed.,joy
"God, oh it's just perfect!",joy
I bet it has a great story behind it too.,joy
"Yes! That I know, this is from White Plains.",joy
"White Plains. Oh, it sounds like such a magical place.",joy
